,zip,state_x,total,below40,i40_45,i45_50,plus50,s_black,s_hispanic,s_asian,s_unknown,s_other,s_nativeAmerican,s_female,s_male,plus50sum,plus50count,state_y,ratio,ratio_err,std3,r_minus_3std,ratio_minus_std,ratio_rank,rmstd_rank,trunc_zip,new_zip
9490,80922,CO,1293,95,92,210,896,304,578,232,61,0,0,697,535,1928.0,2645.0,CO,0.7289224952741021,0.008643200309534032,0.025929600928602095,0.7029928943455,0.7202792949645681,413.0,366.0,80922,<generator object <genexpr> at 0x7f6fbe722a50>
9491,80923,CO,1126,82,91,219,734,184,493,249,56,0,0,584,486,1789.0,2557.0,CO,0.6996480250293312,0.009065456707715892,0.027196370123147677,0.6724516549061835,0.6905825683216154,450.0,400.0,80923,<generator object <genexpr> at 0x7f6fbe722a50>
9492,80924,CO,305,20,22,64,199,60,105,86,32,0,0,157,116,772.0,1120.0,CO,0.6892857142857143,0.013828377860637153,0.04148513358191146,0.6478005807038029,0.6754573364250771,462.0,421.0,80924,<generator object <genexpr> at 0x7f6fbe722a50>
9493,80925,CO,529,25,40,103,361,154,224,33,20,0,0,290,219,1074.0,1482.0,CO,0.7246963562753036,0.011602722802642232,0.03480816840792669,0.6898881878673769,0.7130936334726614,420.0,373.0,80925,<generator object <genexpr> at 0x7f6fbe722a50>
9494,80926,CO,38,4,2,8,24,7,24,0,1,0,0,19,18,52.0,74.0,CO,0.7027027027027027,0.05313313394862917,0.1593994018458875,0.5433033008568152,0.6495695687540736,445.0,456.0,80926,<generator object <genexpr> at 0x7f6fbe722a50>
9495,80927,CO,106,9,12,29,56,27,44,16,6,0,0,53,47,392.0,594.0,CO,0.6599326599326599,0.019437439327776265,0.058312317983328796,0.6016203419493311,0.6404952206048836,498.0,466.0,80927,<generator object <genexpr> at 0x7f6fbe722a50>
9496,80928,CO,37,3,5,8,21,5,25,1,3,0,0,18,16,50.0,62.0,CO,0.8064516129032258,0.050175082003085104,0.15052524600925532,0.6559263668939704,0.7562765309001407,281.0,313.0,80928,<generator object <genexpr> at 0x7f6fbe722a50>
9497,80929,CO,6,1,0,0,5,1,3,0,0,0,0,4,2,14.0,19.0,CO,0.7368421052631579,0.10102261788814665,0.30306785366443995,0.4337742515987179,0.6358194873750111,403.0,474.0,80929,<generator object <genexpr> at 0x7f6fbe722a50>
9498,80930,CO,24,0,6,5,13,5,14,0,2,0,0,12,10,44.0,56.0,CO,0.7857142857142857,0.05483210525562418,0.16449631576687254,0.6212179699474132,0.7308821804586615,321.5,352.0,80930,<generator object <genexpr> at 0x7f6fbe722a50>
9499,80931,CO,28,0,2,8,18,9,13,0,2,0,0,20,6,,,,,,,,,,,,
9500,80932,CO,21,1,0,1,19,7,10,1,0,0,0,11,10,,,,,,,,,,,,
9501,80933,CO,22,3,0,2,17,5,14,1,1,0,0,17,4,,,,,,,,,,,,
9502,80934,CO,13,0,0,0,13,4,8,0,0,0,0,6,7,,,,,,,,,,,,
9503,80935,CO,60,5,3,4,48,31,19,0,2,0,0,32,26,,,,,,,,,,,,
9504,80936,CO,22,4,0,3,15,9,6,1,0,0,0,14,8,,,,,,,,,,,,
9505,80937,CO,11,2,0,2,7,4,5,0,2,0,0,4,5,,,,,,,,,,,,
9506,80938,CO,5,0,1,1,3,1,3,1,0,0,0,3,2,12.0,16.0,CO,0.75,0.10825317547305482,0.3247595264191645,0.4252404735808355,0.6417468245269452,384.0,463.5,80938,<generator object <genexpr> at 0x7f6fbe722a50>
9507,80946,CO,92,0,2,1,89,18,41,8,0,0,0,55,37,,,,,,,,,,,,
9508,80949,CO,10,3,0,1,6,0,8,1,0,0,0,7,3,,,,,,,,,,,,
9509,80951,CO,242,15,24,53,150,59,126,26,15,0,0,135,92,382.0,502.0,CO,0.7609561752988048,0.019035606946445408,0.05710682083933623,0.7038493544594685,0.7419205683523593,366.0,332.0,80951,<generator object <genexpr> at 0x7f6fbe722a50>
9510,80960,CO,10,1,0,1,8,4,3,0,0,0,0,6,4,,,,,,,,,,,,
9511,80962,CO,16,2,1,3,10,3,8,2,0,0,0,8,8,,,,,,,,,,,,
9512,80970,CO,36,4,0,2,30,13,17,1,2,0,0,19,15,,,,,,,,,,,,
9513,81001,CO,4265,85,56,318,3806,95,3794,39,78,0,0,2236,1951,6621.0,7193.0,CO,0.9204782427359933,0.0031900296369496532,0.00957008891084896,0.9109081538251443,0.9172882130990436,57.0,44.0,81001,<generator object <genexpr> at 0x7f6fbe722a50>
9514,81002,CO,17,0,1,1,15,0,16,0,0,0,0,14,3,,,,,,,,,,,,
9515,81003,CO,1884,45,33,112,1694,91,1588,1,33,0,1,962,889,2986.0,3284.0,CO,0.9092570036540804,0.00501242988961645,0.01503728966884935,0.894219713985231,0.9042445737644639,81.0,65.0,81003,<generator object <genexpr> at 0x7f6fbe722a50>
9516,81004,CO,3656,46,26,172,3412,122,3263,4,58,0,0,1943,1655,5724.0,6171.0,CO,0.9275644141954302,0.0032996680719155802,0.009899004215746741,0.9176654099796835,0.9242647461235146,47.0,31.0,81004,<generator object <genexpr> at 0x7f6fbe722a50>
